Age,Gender,Audio_Type,Language,Link,save location
60,Male,Educational,English,https://youtu.be/A-3W1EbQ13k,
50,Female,Educational,English,https://youtu.be/BRMS3T11Cdw,
35,Male,Educational,English,https://youtu.be/GU_nh88dSDc,
45,Male,Educational,English,https://youtu.be/ARvQcqJ_-NY,
40,Female,Educational,English,https://youtu.be/6xFaXIwwq0s,
37,Male,Educational,English,https://youtu.be/IuEOMyGuuIg,
48,Male,Educational,English,https://youtu.be/cH86ZJOue-o,
42,Male,Educational,English,https://youtu.be/jUtjUb7bpbc,
37,Male,Educational,Bengali,https://youtu.be/UWSCTs-ogDY,
40,Male,Educational,Bengali,https://youtu.be/OFHwEeQH2LY,
40,Male,Educational,Bengali,https://youtu.be/PmmexdFss7c,
30,Male,Educational,Hindi,https://youtu.be/65P3T8VAMmo,
27,Female,Educational,English,https://youtu.be/ruoZeOyV0YU,
23,Male,Educational,Hindi,https://youtu.be/MiYFenzWruE,
30,Male,Blog,Bengali,https://youtu.be/shH7gHOd0mg,
35,Female,Lifestyle,Bengali,https://youtu.be/QFW_2mMw70M,
24,Female,Educational,Bengali,https://youtu.be/HzpFHsUhaZs,
50,Male,Blog,Bengali,https://youtu.be/gSXbQABfiuI,
35,Female,Educational,Bengali,https://youtu.be/dnkPPUvEdM0,
27,Female,Educational,Bengali,https://youtu.be/-sC8a1fnq8c,
29,Male,Educational,Bengali,https://youtu.be/XT5EFidFU0Y,
38,Male,Educational,Bengali,https://youtu.be/kPHzAn1Zbvg,
35,Female,Lifestyle,Bengali,https://youtu.be/X63OhNT41l0,
33,Female,Lifestyle,Bengali,https://youtu.be/nIp4n7CUBS8,
25,Female,Lifestyle,Bengali,https://youtu.be/VzJWG3dPN08,
31,Female,Lifestyle,Bengali,https://youtu.be/1t1baDI0KkM,
29,Female,Lifestyle,Bengali,https://youtu.be/i0wKArODSBE,
25,Female,Lifestyle,Bengali,https://youtu.be/_RSskngwqi0,
30,Male,Lifestyle,Bengali,https://youtu.be/-7k86f791jE,
27,Male,Blog,Bengali,https://youtu.be/tWBUMMWFV_E,
29,Male,Blog,Bengali,https://youtu.be/07bYkxI12DI,
30,Male,Blog,Bengali,https://youtu.be/gyS4HhzgP-E,
28,Female,Blog,Bengali,https://youtu.be/bw2abib5W_0,
35,Male,Blog,Bengali,https://youtu.be/7y5TH1H1yC4,
28,Female,Blog,Bengali,https://youtu.be/zLgJIiO7uH0,
38,Female,Blog,Bengali,https://youtu.be/VqSqxZhNDTo,
30,Female,Lifestyle,Bengali,https://youtu.be/TJQirIyJ-7o,
27,Female,Lifestyle,Bengali,https://youtu.be/XxzSAadjBI0,
45,Male,Games ,Bengali,https://youtu.be/5gnPohHK7SE,
30,Male,Games ,Bengali ,https://youtu.be/AOKL-Y1TA_I,